customer_id,name,home_city,home_lat,home_lon,account_age_days,avg_monthly_spend,risk_segment
CUST100000,Customer 0000,Bangalore,12.9716,77.5946,3184,7461.11,Low
CUST100001,Customer 0001,Delhi,28.7041,77.1025,3102,14400.11,Low
CUST100002,Customer 0002,Chennai,13.0827,80.2707,476,10060.47,Low
CUST100003,Customer 0003,Bangalore,12.9716,77.5946,2929,5677.19,Low
CUST100004,Customer 0004,Hyderabad,17.385,78.4867,1695,11196.67,Low
CUST100005,Customer 0005,Mumbai,19.076,72.8777,2443,9658.27,Low
CUST100006,Customer 0006,Hyderabad,17.385,78.4867,2334,23354.0,Low
CUST100007,Customer 0007,Kolkata,22.5726,88.3639,2914,24204.88,Low
CUST100008,Customer 0008,Delhi,28.7041,77.1025,1092,7556.31,Medium
CUST100009,Customer 0009,Hyderabad,17.385,78.4867,1816,9917.57,Medium
CUST100010,Customer 0010,Chennai,13.0827,80.2707,2744,23626.02,Low
CUST100011,Customer 0011,Pune,18.5204,73.8567,3566,4776.46,Low
CUST100012,Customer 0012,Mumbai,19.076,72.8777,2445,13313.73,High
CUST100013,Customer 0013,Pune,18.5204,73.8567,2071,7206.61,Low
CUST100014,Customer 0014,Kolkata,22.5726,88.3639,1373,18129.33,Low
CUST100015,Customer 0015,Pune,18.5204,73.8567,3013,10578.75,Low
CUST100016,Customer 0016,Hyderabad,17.385,78.4867,2263,5142.05,Low
CUST100017,Customer 0017,Bangalore,12.9716,77.5946,1595,4353.28,High
CUST100018,Customer 0018,Kolkata,22.5726,88.3639,1139,19507.59,Low
CUST100019,Customer 0019,Delhi,28.7041,77.1025,1510,16253.96,Medium
CUST100020,Customer 0020,Pune,18.5204,73.8567,1285,11825.65,Low
CUST100021,Customer 0021,Bangalore,12.9716,77.5946,2353,14065.71,Low
CUST100022,Customer 0022,Mumbai,19.076,72.8777,801,15577.84,Medium
CUST100023,Customer 0023,Bangalore,12.9716,77.5946,773,3531.3,Medium
CUST100024,Customer 0024,Bangalore,12.9716,77.5946,74,16107.66,Low
CUST100025,Customer 0025,Ahmedabad,23.0225,72.5714,2578,6827.85,Low
CUST100026,Customer 0026,Pune,18.5204,73.8567,1172,15181.75,Low
CUST100027,Customer 0027,Pune,18.5204,73.8567,401,17639.76,Low
CUST100028,Customer 0028,Delhi,28.7041,77.1025,2288,16397.36,Low
CUST100029,Customer 0029,Bangalore,12.9716,77.5946,3109,12980.08,Low
CUST100030,Customer 0030,Chennai,13.0827,80.2707,3129,18392.05,Low
CUST100031,Customer 0031,Mumbai,19.076,72.8777,1761,18153.21,Low
CUST100032,Customer 0032,Kolkata,22.5726,88.3639,1580,26385.6,Low
CUST100033,Customer 0033,Mumbai,19.076,72.8777,2670,5656.04,Low
CUST100034,Customer 0034,Hyderabad,17.385,78.4867,2852,16652.82,Low
CUST100035,Customer 0035,Hyderabad,17.385,78.4867,1048,9713.29,Medium
CUST100036,Customer 0036,Kolkata,22.5726,88.3639,873,5521.07,Low
CUST100037,Customer 0037,Mumbai,19.076,72.8777,573,27203.51,Medium
CUST100038,Customer 0038,Pune,18.5204,73.8567,2288,14927.08,Low
CUST100039,Customer 0039,Ahmedabad,23.0225,72.5714,3252,25167.16,Low
CUST100040,Customer 0040,Ahmedabad,23.0225,72.5714,2739,17002.69,Low
CUST100041,Customer 0041,Chennai,13.0827,80.2707,3070,12435.83,Low
CUST100042,Customer 0042,Delhi,28.7041,77.1025,1991,12855.77,Low
CUST100043,Customer 0043,Kolkata,22.5726,88.3639,1539,8666.56,Medium
CUST100044,Customer 0044,Kolkata,22.5726,88.3639,1418,5970.51,Low
CUST100045,Customer 0045,Chennai,13.0827,80.2707,2690,12720.19,Low
CUST100046,Customer 0046,Bangalore,12.9716,77.5946,1489,12464.35,Medium
CUST100047,Customer 0047,Bangalore,12.9716,77.5946,327,8286.13,Low
CUST100048,Customer 0048,Chennai,13.0827,80.2707,2008,8887.31,Medium
CUST100049,Customer 0049,Kolkata,22.5726,88.3639,1641,2007.31,Low
CUST100050,Customer 0050,Kolkata,22.5726,88.3639,2499,21233.87,Low
CUST100051,Customer 0051,Ahmedabad,23.0225,72.5714,3591,19456.2,Low
CUST100052,Customer 0052,Hyderabad,17.385,78.4867,3009,18669.96,Low
CUST100053,Customer 0053,Bangalore,12.9716,77.5946,2170,10251.65,Low
CUST100054,Customer 0054,Delhi,28.7041,77.1025,1769,13081.89,Medium
CUST100055,Customer 0055,Pune,18.5204,73.8567,3484,13030.47,Low
CUST100056,Customer 0056,Kolkata,22.5726,88.3639,1743,29461.53,Low
CUST100057,Customer 0057,Hyderabad,17.385,78.4867,845,9327.06,High
CUST100058,Customer 0058,Delhi,28.7041,77.1025,303,6768.49,High
CUST100059,Customer 0059,Chennai,13.0827,80.2707,2941,10372.84,Low
CUST100060,Customer 0060,Bangalore,12.9716,77.5946,2201,12147.37,Medium
CUST100061,Customer 0061,Delhi,28.7041,77.1025,1157,28940.88,Medium
CUST100062,Customer 0062,Mumbai,19.076,72.8777,2821,11204.36,Low
CUST100063,Customer 0063,Chennai,13.0827,80.2707,2460,17577.53,Low
CUST100064,Customer 0064,Hyderabad,17.385,78.4867,1744,15130.62,Low
CUST100065,Customer 0065,Ahmedabad,23.0225,72.5714,2986,13713.81,Low
