transaction_id,customer_id,transaction_amount,timestamp,merchant,device_type,location,latitude,longitude,payment_method,is_foreign,fraud_label
TXN2BD13D9AF950,CUST100402,42294.57,2026-07-21 00:40:36,Crypto Exchange,Mobile,Singapore,1.3521,103.8198,Debit Card,True,1
TXN06FD14C937A9,CUST100501,43833.16,2026-07-21 00:48:02,Jewellery,Tablet,New York,40.7128,-74.006,Wallet,True,1
TXNC131646402A3,CUST101028,35352.85,2026-07-21 04:07:50,CryptoFastX,Tablet,Mumbai,19.076,72.8777,Credit Card,False,1
TXNCB65A65A90DE,CUST100412,29593.16,2026-07-21 05:18:17,Fuel,Tablet,Singapore,1.3521,103.8198,Wallet,True,1
TXN5CA279A95DB2,CUST101021,21461.57,2026-07-21 08:03:19,Crypto Exchange,Tablet,Dubai,25.2048,55.2708,Wallet,True,1
TXNE9C7092B9D75,CUST101069,24337.64,2026-07-21 10:27:44,Online Marketplace,ATM,Delhi,28.7041,77.1025,Net Banking,False,1
TXNEDF6EE1879B3,CUST100676,294.22,2026-07-21 11:04:10,Travel,ATM,Kolkata,22.5726,88.3639,Credit Card,False,0
TXN715D9E2A14BA,CUST100347,295.44,2026-07-21 11:05:39,Fuel,Mobile,Delhi,28.7041,77.1025,Net Banking,False,0
TXNCFC946663E3F,CUST100813,553.36,2026-07-21 11:13:46,Fuel,POS Terminal,Hyderabad,17.385,78.4867,Debit Card,False,0
TXNAB03F2444814,CUST100387,3188.95,2026-07-21 11:18:45,Electronics,Desktop,Mumbai,19.076,72.8777,Debit Card,False,0
TXN1F7FCE9B7335,CUST100646,1945.79,2026-07-21 11:22:43,Electronics,POS Terminal,Kolkata,22.5726,88.3639,Credit Card,False,0
TXN63F348CE3C14,CUST100614,208.92,2026-07-21 11:24:49,Utilities,Mobile,Pune,18.5204,73.8567,UPI,False,0
TXN301145CC37EE,CUST100627,1279.67,2026-07-21 11:31:04,Utilities,Mobile,Ahmedabad,23.0225,72.5714,Wallet,False,0
TXN156B5EE16936,CUST100342,255.32,2026-07-21 11:38:03,Crypto Exchange,Mobile,Chennai,13.0827,80.2707,Credit Card,False,0
TXND27CD78620B7,CUST100431,3054.35,2026-07-21 11:39:44,Travel,Tablet,Delhi,28.7041,77.1025,Net Banking,False,0
TXN22924DE5E6C7,CUST100983,950.83,2026-07-21 11:41:53,Travel,Mobile,Mumbai,19.076,72.8777,Net Banking,False,0
TXN6862135CC3B1,CUST100978,1346.33,2026-07-21 11:47:52,Dining,Mobile,Kolkata,22.5726,88.3639,Credit Card,False,0
TXN480D7DEC3DB3,CUST100222,716.43,2026-07-21 11:57:27,Jewellery,Tablet,Kolkata,22.5726,88.3639,Credit Card,False,0
TXN7700CF557144,CUST100447,146.09,2026-07-21 11:59:24,Grocery,Mobile,Kolkata,22.5726,88.3639,Credit Card,False,0
TXND6301588BA8D,CUST101149,924.74,2026-07-21 12:01:17,Crypto Exchange,Mobile,Hyderabad,17.385,78.4867,Credit Card,False,0
TXN01F4BA2BC6AC,CUST100517,832.91,2026-07-21 12:05:04,Online Marketplace,Desktop,Delhi,28.7041,77.1025,Credit Card,False,0
TXNEC065B7DD21D,CUST100989,1147.33,2026-07-21 12:07:17,Grocery,Desktop,Mumbai,19.076,72.8777,Debit Card,False,0
TXN0BD3E03148D1,CUST100458,669.3,2026-07-21 12:08:28,Utilities,Mobile,Mumbai,19.076,72.8777,Debit Card,False,0
TXN82D46FDA33D6,CUST101191,187.35,2026-07-21 12:09:58,Utilities,POS Terminal,Kolkata,22.5726,88.3639,Credit Card,False,0
TXN26B6D26077E8,CUST100983,40936.24,2026-07-21 12:10:19,Travel,POS Terminal,Chennai,13.0827,80.2707,UPI,False,1
TXN21DE5667D5C6,CUST100979,606.26,2026-07-21 12:12:52,Crypto Exchange,Desktop,Kolkata,22.5726,88.3639,UPI,False,0
TXN0E821A8BCBF8,CUST100488,744.39,2026-07-21 12:14:07,Online Marketplace,Mobile,Bangalore,12.9716,77.5946,Debit Card,False,0
TXNB2BABD2848F3,CUST100258,598.76,2026-07-21 12:16:48,Grocery,Tablet,Hyderabad,17.385,78.4867,Credit Card,False,0
TXN2E4DB37BF770,CUST100591,893.05,2026-07-21 12:18:59,Gaming,Mobile,Chennai,13.0827,80.2707,Credit Card,False,0
TXND5EA336EA0DF,CUST100102,641.92,2026-07-21 12:23:19,Utilities,Mobile,Hyderabad,17.385,78.4867,Debit Card,False,0
TXN790CD42CADB4,CUST101104,238.5,2026-07-21 12:24:00,Gaming,ATM,Pune,18.5204,73.8567,Debit Card,False,0
TXN1B3148FD0FBE,CUST100473,1859.84,2026-07-21 12:24:29,Utilities,Mobile,Pune,18.5204,73.8567,Debit Card,False,0
TXNEF69B5BE3C62,CUST100859,380.18,2026-07-21 12:25:35,Crypto Exchange,Mobile,Ahmedabad,23.0225,72.5714,Credit Card,False,0
TXNB35098D4D354,CUST100224,205.67,2026-07-21 12:26:10,Fuel,Tablet,Ahmedabad,23.0225,72.5714,UPI,False,0
TXN4D53E2C00BF5,CUST100135,772.15,2026-07-21 12:26:30,Jewellery,POS Terminal,Hyderabad,17.385,78.4867,UPI,False,0
TXN126086322EA7,CUST100821,453.21,2026-07-21 12:28:50,Jewellery,Mobile,Pune,18.5204,73.8567,Debit Card,False,0
TXN0CBF1E91AC3E,CUST100691,754.66,2026-07-21 12:30:58,Fuel,Tablet,Hyderabad,17.385,78.4867,Debit Card,False,0
TXNA3383B873C21,CUST100848,254.59,2026-07-21 12:31:48,Dining,POS Terminal,Delhi,28.7041,77.1025,UPI,False,0
TXNF39F155968D5,CUST100356,348.93,2026-07-21 12:39:39,Crypto Exchange,Mobile,Ahmedabad,23.0225,72.5714,UPI,False,0
TXNADB364CD2FD1,CUST100422,1095.9,2026-07-21 12:40:24,Fuel,Mobile,Pune,18.5204,73.8567,Net Banking,False,0
TXNE8A149528DDB,CUST100027,1192.68,2026-07-21 12:40:29,Utilities,Mobile,Pune,18.5204,73.8567,Credit Card,False,0
TXN42B68F1999A2,CUST100649,120.9,2026-07-21 12:40:45,Dining,Mobile,Delhi,28.7041,77.1025,Credit Card,False,0
TXN8683F3761E99,CUST100269,234.98,2026-07-21 12:45:04,Travel,Desktop,Bangalore,12.9716,77.5946,Debit Card,False,0
TXN9430BAEB1018,CUST101112,1349.53,2026-07-21 12:49:59,Utilities,Mobile,Bangalore,12.9716,77.5946,Debit Card,False,0
TXN5E4BB3066178,CUST100105,2594.66,2026-07-21 12:53:18,Crypto Exchange,Desktop,Kolkata,22.5726,88.3639,Credit Card,False,0
TXNF263F735F48A,CUST100195,504.03,2026-07-21 12:59:07,Crypto Exchange,Tablet,Chennai,13.0827,80.2707,Credit Card,False,0
TXN489B59BEAAC9,CUST100213,373.37,2026-07-21 13:08:13,Utilities,Desktop,Hyderabad,17.385,78.4867,Debit Card,False,0
TXNE5DAEBE0F04E,CUST100132,172.95,2026-07-21 13:10:37,Electronics,POS Terminal,Pune,18.5204,73.8567,UPI,False,0
TXNB63F8374D2FD,CUST101126,692.64,2026-07-21 13:13:41,Utilities,Tablet,Delhi,28.7041,77.1025,UPI,False,0
TXN0E7D513AEBF9,CUST100917,1248.2,2026-07-21 13:16:18,Electronics,Tablet,Chennai,13.0827,80.2707,Net Banking,False,0
